statement_label	statement_type	short_claim_name	current_toc_file	lean_handles	dependency_class	downstream_owner	downstream_treatment	notes
prop:hardness-conservation	proposition	Baseline Lower-Bound Principle	latex_toc/content/06_implications_for_software_architecture.tex:172	HD23,HD25	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:hardness-efficiency	definition	Hardness Efficiency	latex_toc/content/06_implications_for_software_architecture.tex:186	HD11	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
prop:hardness-efficiency-interpretation	proposition	Efficiency Equivalence	latex_toc/content/06_implications_for_software_architecture.tex:192	HD11	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:right-wrong-placement	definition	Right vs Wrong Hardness Placement	latex_toc/content/06_implications_for_software_architecture.tex:202	HD12,HD13	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:centralization-dominance	theorem	Centralization Dominance	latex_toc/content/06_implications_for_software_architecture.tex:212		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:right-wrong-hardness	corollary	Right-Place vs Wrong-Place Hardness	latex_toc/content/06_implications_for_software_architecture.tex:239	HD19	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
prop:dominance-modes	proposition	Dominance Modes	latex_toc/content/06_implications_for_software_architecture.tex:254	HD3	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:type-system-threshold	corollary	Type-System Threshold	latex_toc/content/06_implications_for_software_architecture.tex:283	HD15	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:generalized-site-accumulation	definition	Generalized Site Accumulation	latex_toc/content/06_implications_for_software_architecture.tex:299		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:eventual-saturation	definition	Eventual Saturation	latex_toc/content/06_implications_for_software_architecture.tex:306		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:generalized-dominance	theorem	Generalized Dominance by Growth Separation	latex_toc/content/06_implications_for_software_architecture.tex:310		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:generalized-eventual-dominance	corollary	Eventual Generalized Dominance	latex_toc/content/06_implications_for_software_architecture.tex:339	HD10	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
prop:generalized-assumption-boundary	proposition	Generalized Assumption Boundary	latex_toc/content/06_implications_for_software_architecture.tex:355	HD8,HD7	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:linear-saturation-iff-zero	theorem	Linear Model: Saturation iff Zero Distributed Hardness	latex_toc/content/06_implications_for_software_architecture.tex:370	HD19	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:generalized-saturation-possible	theorem	Generalized Model: Saturation is Possible	latex_toc/content/06_implications_for_software_architecture.tex:384	HD20,HD6	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:linear-positive-no-saturation	corollary	Positive Linear Slope Cannot Represent Saturation	latex_toc/content/06_implications_for_software_architecture.tex:402	HD16	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:simplicity-tax	definition	(untitled)	latex_toc/content/07_simplicity_tax.tex:9	CT6,HD5,HD26,HD21,HD4	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:simplicity-tax	definition	Simplicity Tax	latex_toc/content/07_simplicity_tax.tex:13	HD5	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:tax-conservation	theorem	Redistribution Identity	latex_toc/content/07_simplicity_tax.tex:20	HD5	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:tax-grows	remark	Why this is nontrivial in context	latex_toc/content/07_simplicity_tax.tex:33	HD26	physical	C	shortened recap	Physical/engineering item; keep out of Papers A and B.
thm:tax-grows	theorem	Linear Growth	latex_toc/content/07_simplicity_tax.tex:37	HD26	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:amortization	theorem	Amortization	latex_toc/content/07_simplicity_tax.tex:50	HD4	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:gap-externalization	corollary	Gap Externalization	latex_toc/content/07_simplicity_tax.tex:70	HD26,HD21	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:gap-minimization-hard	corollary	Exact Minimization Criterion	latex_toc/content/07_simplicity_tax.tex:84	S2P2	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
UNLABELED:10_lean_4_proof_listings:54	theorem	TAUTOLOGY Reduction Correctness, Lean	latex_toc/content/10_lean_4_proof_listings.tex:54		A-only	A	cite only	Lean proof-listing support for Paper A; prune per-paper handles later.
